1,458
2,440
3,468
4,468
5,473
6,473
7,494
8,494
9,494
10,479
11,472
12,471
13,503
14,503
15,492
16,492
17,489
18,487
19,495
20,497
21,498
22,507
23,507
24,507
25,490
26,496
27,496
28,496
29,502
30,496
31,498
32,500
33,499
34,504
35,500
36,505
37,505
38,505
39,505
40,505
41,505
42,508
43,505
44,507
45,508
46,506
47,501
48,509
49,503
50,503
51,503
52,500
53,501
54,500
55,500
56,502
57,502
58,503
59,502
60,505
61,505
62,505
63,502
64,502
65,502
66,505
67,505
68,505
69,502
70,502
71,502
72,502
73,502
74,502
75,502
76,502
77,502
78,502
79,502
80,502
81,500
82,500
83,500
84,500
85,500
86,500
87,500
88,500
89,500
90,500
91,500
92,500
93,500
94,500
95,500
96,500
97,500
98,500
99,500
100,500
101,500
102,500
103,500
104,500
105,500
106,500
107,500
108,500
109,500
110,500
111,500
112,500
113,500
114,500
115,500
116,500
117,500
118,500
119,500
120,500
121,500
122,500
123,500
124,500
125,500
126,500
127,500
128,500
129,500
130,500
131,500
132,500
133,500
134,500
135,500
136,500
137,500
138,500
139,500
140,500
141,500
142,500
143,500
144,500
145,500
146,500
147,500
148,500
149,500
150,500
151,500
152,500
153,500
154,500
155,500
156,500
157,500
158,500
159,500
160,500
161,500
162,500
163,500
164,500
165,500
166,500
167,500
168,500
169,500
170,500
171,500
172,500
173,500
174,500
175,500
176,500
177,500
178,500
179,500
180,500
181,500
182,500
183,500
184,500
185,500
186,500
187,500
188,500
189,500
190,500
191,500
192,500
193,500
194,500
195,500
196,500
197,500
198,500
199,500
200,500
201,500
202,500
203,500
204,500
205,500
206,500
207,500
208,500
209,500
210,500
211,500
212,500
213,500
214,500
215,500
216,500
217,500
218,500
219,500
220,500
221,500
222,500
223,500
224,500
225,500
226,500
227,500
228,500
229,500
230,500
231,500
232,500
233,500
234,500
235,500
236,500
237,500
238,500
239,500
240,500
241,500
242,500
243,500
244,500
245,500
246,500
247,500
248,500
249,500
250,500
251,500
252,500
253,500
254,500
255,500
256,500
257,500
258,500
259,500
260,500
261,500
262,500
263,500
264,500
265,500
266,500
267,500
268,500
269,500
270,500
271,500
272,500
273,500
274,500
275,500
276,500
277,500
278,500
279,500
280,500
281,500
282,500
283,500
284,500
285,500
286,500
287,500
288,500
289,500
290,500
291,500
292,500
293,500
294,500
295,500
296,500
297,500
298,500
299,500
300,500
301,500
302,500
303,500
304,500
305,500
306,500
307,500
308,500
309,500
310,500
311,500
312,500
313,500
314,500
315,500
316,500
317,500
318,500
319,500
320,500
321,500
322,500
323,500
324,500
325,500
326,500
327,500
328,500
329,500
330,500
331,500
332,500
333,500
334,500
335,500
